customer_id,customer_name,city,signup_date
1,Amit,Pune,2022-03-31
2,John,Pune,2022-04-21
3,Amit,Bangalore,2023-07-04
4,Meena,Pune,2022-12-15
5,Amit,Delhi,2022-05-19
6,Riya,Hyderabad,2022-12-08
7,Sneha,Delhi,2022-01-02
8,John,Mumbai,2024-06-18
9,Arjun,Bangalore,2022-03-13
10,Amit,Pune,2024-01-20
11,Sara,Mumbai,2022-02-14
12,Rahul,Chennai,2022-05-26
13,Priya,Mumbai,2022-10-26
14,John,Hyderabad,2023-05-04
15,Karan,Bangalore,2024-05-07
16,Amit,Pune,2022-12-18
17,Meena,Bangalore,2022-07-31
18,Arjun,Chennai,2023-06-24
19,Arjun,Pune,2022-01-13
20,John,Chennai,2023-06-10
21,John,Chennai,2023-07-06
22,Arjun,Bangalore,2023-06-18
23,John,Pune,2023-06-07
24,Amit,Chennai,2022-07-05
25,Rahul,Bangalore,2023-11-05
26,Karan,Delhi,2022-12-09
27,Riya,Hyderabad,2023-02-05
28,Rahul,Chennai,2023-04-13
29,John,Hyderabad,2024-03-08
30,Riya,Mumbai,2022-07-13
31,Arjun,Mumbai,2024-05-01
32,Riya,Mumbai,2022-12-27
33,Sneha,Bangalore,2023-06-29
34,Meena,Chennai,2024-04-23
35,Amit,Chennai,2022-10-22
36,Sara,Chennai,2024-01-08
37,Sneha,Hyderabad,2023-05-11
38,Priya,Delhi,2023-07-04
39,Sara,Bangalore,2024-02-09
40,Sara,Mumbai,2022-01-11
41,Priya,Bangalore,2022-07-17
42,Amit,Pune,2024-03-29
43,Riya,Chennai,2022-10-06
44,John,Chennai,2023-03-07
45,Amit,Mumbai,2023-09-25
46,Rahul,Hyderabad,2022-12-30
47,Rahul,Mumbai,2023-03-20
48,Amit,Hyderabad,2023-01-22
49,Rahul,Hyderabad,2023-12-12
50,John,Mumbai,2022-11-27
51,Karan,Bangalore,2022-02-03
52,Meena,Pune,2023-03-01
53,Riya,Mumbai,2023-10-17
54,Priya,Bangalore,2022-03-07
55,Priya,Pune,2023-11-16
56,Sneha,Chennai,2022-03-22
57,Amit,Hyderabad,2023-02-01
58,Meena,Pune,2022-05-30
59,Karan,Bangalore,2023-01-13
60,Priya,Hyderabad,2022-12-12
61,Meena,Mumbai,2023-10-07
62,Priya,Hyderabad,2023-01-31
63,John,Mumbai,2024-01-30
64,Priya,Bangalore,2023-11-16
65,Amit,Pune,2023-04-06
66,Sara,Pune,2023-03-16
67,Amit,Delhi,2023-06-19
68,Riya,Hyderabad,2023-06-12
69,Meena,Delhi,2022-12-18
70,Meena,Mumbai,2023-07-13
71,Riya,Delhi,2023-08-07
72,Riya,Mumbai,2022-10-06
73,Meena,Delhi,2022-07-28
74,Riya,Pune,2023-02-12
75,Amit,Hyderabad,2022-03-24
76,Sneha,Hyderabad,2022-07-24
77,Amit,Delhi,2022-10-02
78,Arjun,Delhi,2022-03-29
79,Arjun,Pune,2022-03-27
80,Riya,Hyderabad,2023-07-05
81,Priya,Hyderabad,2022-05-19
82,Sara,Bangalore,2024-01-19
83,John,Mumbai,2022-09-21
84,Arjun,Bangalore,2022-12-15
85,John,Delhi,2024-05-10
86,Meena,Delhi,2023-09-17
87,Amit,Hyderabad,2023-09-16
88,Sara,Pune,2023-12-14
89,Arjun,Mumbai,2023-12-09
90,Amit,Pune,2024-06-01
91,Sara,Pune,2023-11-17
92,John,Pune,2023-01-03
93,Sneha,Bangalore,2022-12-18
94,Sneha,Delhi,2023-01-27
95,Amit,Bangalore,2023-01-20
96,Meena,Pune,2024-04-29
97,Priya,Hyderabad,2023-01-21
98,Riya,Mumbai,2022-10-31
99,Rahul,Pune,2023-05-30
100,Arjun,Pune,2022-02-26
101,John,Mumbai,2023-08-24
102,John,Pune,2022-04-21
103,Sara,Hyderabad,2024-02-23
104,Riya,Delhi,2023-10-25
105,Sara,Pune,2024-05-11
106,Sara,Hyderabad,2023-08-09
107,Riya,Delhi,2023-12-09
108,Sara,Hyderabad,2023-08-12
109,Karan,Pune,2022-02-19
110,Priya,Mumbai,2022-01-21
111,John,Chennai,2023-05-24
112,Priya,Bangalore,2023-07-02
113,Amit,Bangalore,2023-07-09
114,Priya,Pune,2024-06-10
115,Riya,Delhi,2023-09-05
116,Amit,Bangalore,2023-06-01
117,Arjun,Pune,2023-12-24
118,Arjun,Mumbai,2022-11-25
119,John,Delhi,2023-12-06
120,Rahul,Pune,2022-10-19
121,Priya,Bangalore,2023-01-02
122,John,Mumbai,2023-09-14
123,Amit,Bangalore,2023-11-21
124,Priya,Delhi,2022-02-17
